order_id,product_name,qty
1,Palladium Desrue Mid,5
1,測試商品2,4
2,測試打包組合1,1
2,Palladium Desrue Mid,1
2,測試商品2,1
3,Palladium Desrue Mid,1
4,Palladium Desrue Mid,1
5,Palladium Desrue Mid,1
6,[137 degrees] 無加糖杏仁堅果奶 (180ml/罐),1
6,[137 degrees] 無加糖杏仁堅果奶 (180ml/罐)-無加糖杏仁堅果奶,1
8,[137 degrees] 無加糖杏仁堅果奶 (180ml/罐),1
8,[137 degrees] 無加糖杏仁堅果奶 (180ml/罐)-無加糖杏仁堅果奶,1
8,[Prize Snack] 泰國低熱量爆米圓餅-orange,1
10,[Prize Snack] 泰國低熱量爆米圓餅-orange,1
10,[137 degrees] 咖啡拿鐵杏仁堅果奶 (180ml/罐) {賞味期限: 2018-10-05},1
10,[137 degrees] 開心果堅果奶 (180ml/罐) {賞味期限: 2018-08-15},3
10,FREE -  FreeGiftSample,1
11,測試商品2,1
11,FREE -  FreeGiftSample,1
12,[137 degrees] 開心果堅果奶 (180ml/罐) {賞味期限: 2018-08-15},1
12,[137 degrees] 咖啡拿鐵杏仁堅果奶 (180ml/罐) {賞味期限: 2018-10-05},1
12,FREE -  FreeGiftSample,1
14,[137 degrees] 咖啡拿鐵杏仁堅果奶 (180ml/罐) {賞味期限: 2018-10-05},2
14,[137 degrees] 原味杏仁堅果奶 (180ml/罐) {賞味期限: 2018-09-11},1
14,[137 degrees] 咖啡拿鐵杏仁堅果奶 (180ml/罐) {賞味期限: 2018-10-05},4
14,[137 degrees] 原味杏仁堅果奶 (180ml/罐) {賞味期限: 2018-09-11},2
14,[137 degrees] 開心果堅果奶 (180ml/罐) {賞味期限: 2018-08-15},2
15,[137 degrees] 原味杏仁堅果奶 (180ml/罐) {賞味期限: 2018-09-11},1
16,[137 degrees] 原味杏仁堅果奶 (180ml/罐) {賞味期限: 2018-09-11},1
17,[137 degrees] 咖啡拿鐵杏仁堅果奶 (180ml/罐) {賞味期限: 2018-10-05},2
